epc_hex,label
AA000001,ZB
AA000002,ZB
AA000003,ZB
AA000004,ZB
AA000005,ZB
AA000006,ZB
AA000007,ZB
AA000008,ZB
AA000009,ZB
AA000010,ZB
AA000011,ZB
AA000012,ZB
AA000013,ZB
AA000014,ZB
AA000015,ZB
AA000016,ZB
AA000017,ZB
AA000018,ZB
AA000019,ZB
AA000020,ZB
AA000021,ZB
AA000022,ZB
AA000023,ZB
AA000024,ZB
AA000025,ZB
AA000026,ZB
AA000027,ZB
AA000028,ZB
AA000029,ZB
AA000030,ZB
AA000031,ZB
AA000032,ZB
AA000033,ZB
AA000034,ZB
AA000035,ZB
AA000036,ZB
AA000037,ZB
AA000038,ZB
AA000039,ZB
AA000040,ZB
AA000041,ZB
AA000042,ZB
AA000043,ZB
AA000044,ZB
AA000045,ZB
AA000046,ZB
AA000047,ZB
AA000048,ZB
AA000049,ZB
AA000050,ZB
AA000051,ZB
AA000052,ZB
AA000053,ZB
AA000054,ZB
AA000055,ZB
AA000056,ZB
AA000057,ZB
AA000058,ZB
AA000059,ZB
AA000060,ZB
AA000061,ZB
AA000062,ZB
AA000063,ZB
AA000064,ZB
AA000065,ZB
AA000066,ZB
AA000067,ZB
AA000068,ZB
AA000069,ZB
AA000070,ZB
AA000071,ZB
AA000072,ZB
AA000073,ZB
AA000074,ZB
AA000075,ZB
AA000076,ZB
AA000077,ZB
AA000078,ZB
AA000079,ZB
AA000080,ZB
AA000081,ZB
AA000082,ZB
AA000083,ZB
AA000084,ZB
AA000085,ZB
AA000086,ZB
AA000087,ZB
AA000088,ZB
AA000089,ZB
AA000090,ZB
AA000091,ZB
AA000092,ZB
AA000093,ZB
AA000094,ZB
AA000095,ZB
AA000096,ZB
AA000097,ZB
AA000098,ZB
AA000099,ZB
AA000100,ZB
AA000101,ZB
AA000102,ZB
AA000103,ZB
AA000104,ZB
AA000105,ZB
AA000106,ZB
AA000107,ZB
AA000108,ZB
AA000109,ZB
AA000110,ZB
AA000111,ZB
AA000112,ZB
AA000113,ZB
AA000114,ZB
AA000115,ZB
AA000116,ZB
AA000117,ZB
AA000118,ZB
AA000119,ZB
AA000120,ZB
AA000121,ZB
AA000122,ZB
AA000123,ZB
AA000124,ZB
AA000125,ZB
AA000126,ZB
AA000127,ZB
AA000128,ZB
AA000129,ZB
AA000130,ZB
AA000131,ZB
AA000132,ZB
AA000133,ZB
AA000134,ZB
AA000135,ZB
AA000136,ZB
AA000137,ZB
AA000138,ZB
AA000139,ZB
AA000140,ZB
AA000141,ZB
AA000142,ZB
AA000143,ZB
AA000144,ZB
AA000145,ZB
AA000146,ZB
AA000147,ZB
AA000148,ZB
AA000149,ZB
AA000150,ZB
AA000151,ZB
AA000152,ZB
AA000153,ZB
AA000154,ZB
AA000155,ZB
AA000156,ZB
AA000157,ZB
AA000158,ZB
AA000159,ZB
AA000160,ZB
AA000161,ZB
AA000162,ZB
AA000163,ZB
AA000164,ZB
AA000165,ZB
AA000166,ZB
AA000167,ZB
AA000168,ZB
AA000169,ZB
AA000170,ZB
AA000171,ZB
AA000172,ZB
AA000173,ZB
AA000174,ZB
AA000175,ZB
AA000176,ZB
AA000177,ZB
AA000178,ZB
AA000179,ZB
AA000180,ZB
AA000181,ZB
AA000182,ZB
AA000183,ZB
AA000184,ZB
AA000185,ZB
AA000186,ZB
AA000187,ZB
AA000188,ZB
AA000189,ZB
AA000190,ZB
AA000191,ZB
AA000192,ZB
AA000193,ZB
AA000194,ZB
AA000195,ZB
AA000196,ZB
AA000197,ZB
AA000198,ZB
AA000199,ZB
AA000200,ZB
AA000201,ZB
AA000202,ZB
AA000203,ZB
AA000204,ZB
AA000205,ZB
AA000206,ZB
AA000207,ZB
AA000208,ZB
AA000209,ZB
AA000210,ZB
AA000211,ZB
AA000212,ZB
AA000213,ZB
AA000214,ZB
AA000215,ZB
AA000216,ZB
AA000217,ZB
AA000218,ZB
AA000219,ZB
AA000220,ZB
AA000221,ZB
AA000222,ZB
AA000223,ZB
AA000224,ZB
AA000225,ZB
AA000226,ZB
AA000227,ZB
AA000228,ZB
AA000229,ZB
AA000230,ZB
AA000231,ZB
AA000232,ZB
AA000233,ZB
AA000234,ZB
AA000235,ZB
AA000236,ZB
AA000237,ZB
AA000238,ZB
AA000239,ZB
AA000240,ZB
AA000241,ZB
AA000242,ZB
AA000243,ZB
AA000244,ZB
AA000245,ZB
AA000246,ZB
AA000247,ZB
AA000248,ZB
AA000249,ZB
AA000250,ZB
AA000251,ZB
AA000252,ZB
AA000253,ZB
AA000254,ZB
AA000255,ZB
AA000256,ZB
AA000257,ZB
AA000258,ZB
AA000259,ZB
AA000260,ZB
AA000261,ZB
AA000262,ZB
AA000263,ZB
AA000264,ZB
AA000265,ZB
AA000266,ZB
AA000267,ZB
AA000268,ZB
AA000269,ZB
AA000270,ZB
AA000271,ZB
AA000272,ZB
AA000273,ZB
AA000274,ZB
AA000275,ZB
AA000276,ZB
AA000277,ZB
AA000278,ZB
AA000279,ZB
AA000280,ZB
AA000281,ZB
AA000282,ZB
AA000283,ZB
AA000284,ZB
AA000285,ZB
AA000286,ZB
AA000287,ZB
AA000288,ZB
AA000289,ZB
AA000290,ZB
AA000291,ZB
AA000292,ZB
AA000293,ZB
AA000294,ZB
AA000295,ZB
AA000296,ZB
AA000297,ZB
AA000298,ZB
AA000299,ZB
AA000300,ZB
