epc_hex,label
AB000001,KB
AB000002,KB
AB000003,KB
AB000004,KB
AB000005,KB
AB000006,KB
AB000007,KB
AB000008,KB
AB000009,KB
AB000010,KB
AB000011,KB
AB000012,KB
AB000013,KB
AB000014,KB
AB000015,KB
AB000016,KB
AB000017,KB
AB000018,KB
AB000019,KB
AB000020,KB
AB000021,KB
AB000022,KB
AB000023,KB
AB000024,KB
AB000025,KB
AB000026,KB
AB000027,KB
AB000028,KB
AB000029,KB
AB000030,KB
AB000031,KB
AB000032,KB
AB000033,KB
AB000034,KB
AB000035,KB
AB000036,KB
AB000037,KB
AB000038,KB
AB000039,KB
AB000040,KB
AB000041,KB
AB000042,KB
AB000043,KB
AB000044,KB
AB000045,KB
AB000046,KB
AB000047,KB
AB000048,KB
AB000049,KB
AB000050,KB
AB000051,KB
AB000052,KB
AB000053,KB
AB000054,KB
AB000055,KB
AB000056,KB
AB000057,KB
AB000058,KB
AB000059,KB
AB000060,KB
AB000061,KB
AB000062,KB
AB000063,KB
AB000064,KB
AB000065,KB
AB000066,KB
AB000067,KB
AB000068,KB
AB000069,KB
AB000070,KB
AB000071,KB
AB000072,KB
AB000073,KB
AB000074,KB
AB000075,KB
AB000076,KB
AB000077,KB
AB000078,KB
AB000079,KB
AB000080,KB
AB000081,KB
AB000082,KB
AB000083,KB
AB000084,KB
AB000085,KB
AB000086,KB
AB000087,KB
AB000088,KB
AB000089,KB
AB000090,KB
AB000091,KB
AB000092,KB
AB000093,KB
AB000094,KB
AB000095,KB
AB000096,KB
AB000097,KB
AB000098,KB
AB000099,KB
AB000100,KB
AB000101,KB
AB000102,KB
AB000103,KB
AB000104,KB
AB000105,KB
AB000106,KB
AB000107,KB
AB000108,KB
AB000109,KB
AB000110,KB
AB000111,KB
AB000112,KB
AB000113,KB
AB000114,KB
AB000115,KB
AB000116,KB
AB000117,KB
AB000118,KB
AB000119,KB
AB000120,KB
AB000121,KB
AB000122,KB
AB000123,KB
AB000124,KB
AB000125,KB
AB000126,KB
AB000127,KB
AB000128,KB
AB000129,KB
AB000130,KB
AB000131,KB
AB000132,KB
AB000133,KB
AB000134,KB
AB000135,KB
AB000136,KB
AB000137,KB
AB000138,KB
AB000139,KB
AB000140,KB
AB000141,KB
AB000142,KB
AB000143,KB
AB000144,KB
AB000145,KB
AB000146,KB
AB000147,KB
AB000148,KB
AB000149,KB
AB000150,KB
AB000151,KB
AB000152,KB
AB000153,KB
AB000154,KB
AB000155,KB
AB000156,KB
AB000157,KB
AB000158,KB
AB000159,KB
AB000160,KB
AB000161,KB
AB000162,KB
AB000163,KB
AB000164,KB
AB000165,KB
AB000166,KB
AB000167,KB
AB000168,KB
AB000169,KB
AB000170,KB
AB000171,KB
AB000172,KB
AB000173,KB
AB000174,KB
AB000175,KB
AB000176,KB
AB000177,KB
AB000178,KB
AB000179,KB
AB000180,KB
AB000181,KB
AB000182,KB
AB000183,KB
AB000184,KB
AB000185,KB
AB000186,KB
AB000187,KB
AB000188,KB
AB000189,KB
AB000190,KB
AB000191,KB
AB000192,KB
AB000193,KB
AB000194,KB
AB000195,KB
AB000196,KB
AB000197,KB
AB000198,KB
AB000199,KB
AB000200,KB
AB000201,KB
AB000202,KB
AB000203,KB
AB000204,KB
AB000205,KB
AB000206,KB
AB000207,KB
AB000208,KB
AB000209,KB
AB000210,KB
AB000211,KB
AB000212,KB
AB000213,KB
AB000214,KB
AB000215,KB
AB000216,KB
AB000217,KB
AB000218,KB
AB000219,KB
AB000220,KB
AB000221,KB
AB000222,KB
AB000223,KB
AB000224,KB
AB000225,KB
AB000226,KB
AB000227,KB
AB000228,KB
AB000229,KB
AB000230,KB
AB000231,KB
AB000232,KB
AB000233,KB
AB000234,KB
AB000235,KB
AB000236,KB
AB000237,KB
AB000238,KB
AB000239,KB
AB000240,KB
AB000241,KB
AB000242,KB
AB000243,KB
AB000244,KB
AB000245,KB
AB000246,KB
AB000247,KB
AB000248,KB
AB000249,KB
AB000250,KB
AB000251,KB
AB000252,KB
AB000253,KB
AB000254,KB
AB000255,KB
AB000256,KB
AB000257,KB
AB000258,KB
AB000259,KB
AB000260,KB
AB000261,KB
AB000262,KB
AB000263,KB
AB000264,KB
AB000265,KB
AB000266,KB
AB000267,KB
AB000268,KB
AB000269,KB
AB000270,KB
AB000271,KB
AB000272,KB
AB000273,KB
AB000274,KB
AB000275,KB
AB000276,KB
AB000277,KB
AB000278,KB
AB000279,KB
AB000280,KB
AB000281,KB
AB000282,KB
AB000283,KB
AB000284,KB
AB000285,KB
AB000286,KB
AB000287,KB
AB000288,KB
AB000289,KB
AB000290,KB
AB000291,KB
AB000292,KB
AB000293,KB
AB000294,KB
AB000295,KB
AB000296,KB
AB000297,KB
AB000298,KB
AB000299,KB
AB000300,KB
