epc_hex,label
AC000001,L-FS
AC000002,L-FS
AC000003,L-FS
AC000004,L-FS
AC000005,L-FS
AC000006,L-FS
AC000007,L-FS
AC000008,L-FS
AC000009,L-FS
AC000010,L-FS
AC000011,L-FS
AC000012,L-FS
AC000013,L-FS
AC000014,L-FS
AC000015,L-FS
AC000016,L-FS
AC000017,L-FS
AC000018,L-FS
AC000019,L-FS
AC000020,L-FS
AC000021,L-FS
AC000022,L-FS
AC000023,L-FS
AC000024,L-FS
AC000025,L-FS
AC000026,L-FS
AC000027,L-FS
AC000028,L-FS
AC000029,L-FS
AC000030,L-FS
AC000031,L-FS
AC000032,L-FS
AC000033,L-FS
AC000034,L-FS
AC000035,L-FS
AC000036,L-FS
AC000037,L-FS
AC000038,L-FS
AC000039,L-FS
AC000040,L-FS
AC000041,L-FS
AC000042,L-FS
AC000043,L-FS
AC000044,L-FS
AC000045,L-FS
AC000046,L-FS
AC000047,L-FS
AC000048,L-FS
AC000049,L-FS
AC000050,L-FS
AC000051,L-FS
AC000052,L-FS
AC000053,L-FS
AC000054,L-FS
AC000055,L-FS
AC000056,L-FS
AC000057,L-FS
AC000058,L-FS
AC000059,L-FS
AC000060,L-FS
AC000061,L-FS
AC000062,L-FS
AC000063,L-FS
AC000064,L-FS
AC000065,L-FS
AC000066,L-FS
AC000067,L-FS
AC000068,L-FS
AC000069,L-FS
AC000070,L-FS
AC000071,L-FS
AC000072,L-FS
AC000073,L-FS
AC000074,L-FS
AC000075,L-FS
AC000076,L-FS
AC000077,L-FS
AC000078,L-FS
AC000079,L-FS
AC000080,L-FS
AC000081,L-FS
AC000082,L-FS
AC000083,L-FS
AC000084,L-FS
AC000085,L-FS
AC000086,L-FS
AC000087,L-FS
AC000088,L-FS
AC000089,L-FS
AC000090,L-FS
AC000091,L-FS
AC000092,L-FS
AC000093,L-FS
AC000094,L-FS
AC000095,L-FS
AC000096,L-FS
AC000097,L-FS
AC000098,L-FS
AC000099,L-FS
AC000100,L-FS
AC000101,L-FS
AC000102,L-FS
AC000103,L-FS
AC000104,L-FS
AC000105,L-FS
AC000106,L-FS
AC000107,L-FS
AC000108,L-FS
AC000109,L-FS
AC000110,L-FS
AC000111,L-FS
AC000112,L-FS
AC000113,L-FS
AC000114,L-FS
AC000115,L-FS
AC000116,L-FS
AC000117,L-FS
AC000118,L-FS
AC000119,L-FS
AC000120,L-FS
AC000121,L-FS
AC000122,L-FS
AC000123,L-FS
AC000124,L-FS
AC000125,L-FS
AC000126,L-FS
AC000127,L-FS
AC000128,L-FS
AC000129,L-FS
AC000130,L-FS
AC000131,L-FS
AC000132,L-FS
AC000133,L-FS
AC000134,L-FS
AC000135,L-FS
AC000136,L-FS
AC000137,L-FS
AC000138,L-FS
AC000139,L-FS
AC000140,L-FS
AC000141,L-FS
AC000142,L-FS
AC000143,L-FS
AC000144,L-FS
AC000145,L-FS
AC000146,L-FS
AC000147,L-FS
AC000148,L-FS
AC000149,L-FS
AC000150,L-FS
