epc_hex,label
AF000001,ZJZB
AF000002,ZJZB
AF000003,ZJZB
AF000004,ZJZB
AF000005,ZJZB
AF000006,ZJZB
AF000007,ZJZB
AF000008,ZJZB
AF000009,ZJZB
AF000010,ZJZB
AF000011,ZJZB
AF000012,ZJZB
AF000013,ZJZB
AF000014,ZJZB
AF000015,ZJZB
AF000016,ZJZB
AF000017,ZJZB
AF000018,ZJZB
AF000019,ZJZB
AF000020,ZJZB
AF000021,ZJZB
AF000022,ZJZB
AF000023,ZJZB
AF000024,ZJZB
AF000025,ZJZB
AF000026,ZJZB
AF000027,ZJZB
AF000028,ZJZB
AF000029,ZJZB
AF000030,ZJZB
AF000031,ZJZB
AF000032,ZJZB
AF000033,ZJZB
AF000034,ZJZB
AF000035,ZJZB
AF000036,ZJZB
AF000037,ZJZB
AF000038,ZJZB
AF000039,ZJZB
AF000040,ZJZB
AF000041,ZJZB
AF000042,ZJZB
AF000043,ZJZB
AF000044,ZJZB
AF000045,ZJZB
AF000046,ZJZB
AF000047,ZJZB
AF000048,ZJZB
AF000049,ZJZB
AF000050,ZJZB
