epc_hex,label
BA000001,ZJKB
BA000002,ZJKB
BA000003,ZJKB
BA000004,ZJKB
BA000005,ZJKB
BA000006,ZJKB
BA000007,ZJKB
BA000008,ZJKB
BA000009,ZJKB
BA000010,ZJKB
BA000011,ZJKB
BA000012,ZJKB
BA000013,ZJKB
BA000014,ZJKB
BA000015,ZJKB
BA000016,ZJKB
BA000017,ZJKB
BA000018,ZJKB
BA000019,ZJKB
BA000020,ZJKB
BA000021,ZJKB
BA000022,ZJKB
BA000023,ZJKB
BA000024,ZJKB
BA000025,ZJKB
BA000026,ZJKB
BA000027,ZJKB
BA000028,ZJKB
BA000029,ZJKB
BA000030,ZJKB
BA000031,ZJKB
BA000032,ZJKB
BA000033,ZJKB
BA000034,ZJKB
BA000035,ZJKB
BA000036,ZJKB
BA000037,ZJKB
BA000038,ZJKB
BA000039,ZJKB
BA000040,ZJKB
BA000041,ZJKB
BA000042,ZJKB
BA000043,ZJKB
BA000044,ZJKB
BA000045,ZJKB
BA000046,ZJKB
BA000047,ZJKB
BA000048,ZJKB
BA000049,ZJKB
BA000050,ZJKB
