epc_hex,label
BB000001,ZJFS
BB000002,ZJFS
BB000003,ZJFS
BB000004,ZJFS
BB000005,ZJFS
BB000006,ZJFS
BB000007,ZJFS
BB000008,ZJFS
BB000009,ZJFS
BB000010,ZJFS
BB000011,ZJFS
BB000012,ZJFS
BB000013,ZJFS
BB000014,ZJFS
BB000015,ZJFS
BB000016,ZJFS
BB000017,ZJFS
BB000018,ZJFS
BB000019,ZJFS
BB000020,ZJFS
BB000021,ZJFS
BB000022,ZJFS
BB000023,ZJFS
BB000024,ZJFS
BB000025,ZJFS
BB000026,ZJFS
BB000027,ZJFS
BB000028,ZJFS
BB000029,ZJFS
BB000030,ZJFS
BB000031,ZJFS
BB000032,ZJFS
BB000033,ZJFS
BB000034,ZJFS
BB000035,ZJFS
BB000036,ZJFS
BB000037,ZJFS
BB000038,ZJFS
BB000039,ZJFS
BB000040,ZJFS
BB000041,ZJFS
BB000042,ZJFS
BB000043,ZJFS
BB000044,ZJFS
BB000045,ZJFS
BB000046,ZJFS
BB000047,ZJFS
BB000048,ZJFS
BB000049,ZJFS
BB000050,ZJFS
