epc_hex,label
BC000001,JT
BC000002,JT
BC000003,JT
BC000004,JT
BC000005,JT
BC000006,JT
BC000007,JT
BC000008,JT
BC000009,JT
BC000010,JT
BC000011,JT
BC000012,JT
BC000013,JT
BC000014,JT
BC000015,JT
BC000016,JT
BC000017,JT
BC000018,JT
BC000019,JT
BC000020,JT
BC000021,JT
BC000022,JT
BC000023,JT
BC000024,JT
BC000025,JT
BC000026,JT
BC000027,JT
BC000028,JT
BC000029,JT
BC000030,JT
BC000031,JT
BC000032,JT
BC000033,JT
BC000034,JT
BC000035,JT
BC000036,JT
BC000037,JT
BC000038,JT
BC000039,JT
BC000040,JT
BC000041,JT
BC000042,JT
BC000043,JT
BC000044,JT
BC000045,JT
BC000046,JT
BC000047,JT
BC000048,JT
BC000049,JT
BC000050,JT
BC000051,JT
BC000052,JT
BC000053,JT
BC000054,JT
BC000055,JT
BC000056,JT
BC000057,JT
BC000058,JT
BC000059,JT
BC000060,JT
BC000061,JT
BC000062,JT
BC000063,JT
BC000064,JT
BC000065,JT
BC000066,JT
BC000067,JT
BC000068,JT
BC000069,JT
BC000070,JT
BC000071,JT
BC000072,JT
BC000073,JT
BC000074,JT
BC000075,JT
BC000076,JT
BC000077,JT
BC000078,JT
BC000079,JT
BC000080,JT
BC000081,JT
BC000082,JT
BC000083,JT
BC000084,JT
BC000085,JT
BC000086,JT
BC000087,JT
BC000088,JT
BC000089,JT
BC000090,JT
BC000091,JT
BC000092,JT
BC000093,JT
BC000094,JT
BC000095,JT
BC000096,JT
BC000097,JT
BC000098,JT
BC000099,JT
BC000100,JT
